dimension,theme,type,detail,standard_code,urls,resource_code
Ambiente,Agua,Señalética,Evite el desperdicio de agua,A007,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-evite-el-desperdicio-de-agua/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P9-A7-.pdf'}",000000
Ambiente,Agua,TDR,TDR para la contratación de empresa que realice plan de gestión del recurso hídrico,A005,"{'web': 'https://ciruelacertificada.cl/recurso/tdr-para-la-contratacion-de-empresa-que-realice-plan-de-gestion-del-recurso-hidrico/', 'pdf': 'https://ciruelacertificada.cl/wp-content/uploads/2024/12/P7-A5-TDR-Plan-gestion-recurso-hidrico.pdf', 'word': 'https://ciruelacertificada.cl/wp-content/uploads/2024/12/P7-A5-TDR-Plan-gestion-recurso-hidrico.docx'}",000001
Ambiente,Agua,Registro,"Registro de mantenciones, fugas o reparaciones",A008,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-mantenciones-fugas-o-reparaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.xlsx'}",000002
Ambiente,Agua,Registro,"Registro de mantenciones, fugas o reparaciones",A009,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-mantenciones-fugas-o-reparaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.xlsx'}",000003
Ambiente,Agua,Registro,"Registro de mantenciones, fugas o reparaciones",A040,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-mantenciones-fugas-o-reparaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.xlsx'}",000004
Ambiente,Agua,Registro,"Registro de mantenciones, fugas o reparaciones",A059,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-mantenciones-fugas-o-reparaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.xlsx'}",000005
Ambiente,Agua,Registro,"Registro de mantenciones, fugas o reparaciones",A082,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-mantenciones-fugas-o-reparaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.xlsx'}",000006
Ambiente,Biodiversidad,Señalética,No realizar labores de limpieza de zanjas o poda de corta vientos en época de anidación de aves,A026,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-no-realizar-labores-de-limpieza-de-zanjas-o-poda-de-corta-vientos-en-epoca-de-anidacion-de-aves/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/02/P45-A26-labores.pdf'}",000007
Ambiente,Biodiversidad,Señalética,"No cazar, pescar o recolectar animales",A026,{'web': 'https://ciruelacertificada.cl/recurso/senaletica-no-cazar-pescar-o-recolectar-animales/'},000008
Ambiente,Biodiversidad,Señalética,Prohibido el ingreso de mascotas,A026,"{'web': 'https://ciruelacertificada.cl/recurso/senaletica-prohibido-el-ingreso-de-mascotas/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/01/P45-A26-PROHIBIDO-1.pdf'}",000009
