dimensión,tema,tipo,detalle,código_recurso,url_web,url_curso,url_pdf,url_word,url_excel
Ambiente,Agua,Señalética,Evite el desperdicio de agua,A007,https://ciruelacertificada.cl/recurso/senaletica-evite-el-desperdicio-de-agua/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P9-A7-.pdf,,
Ambiente,Agua,TDR,TDR para la contratación de empresa que realice plan de gestión del recurso hídrico,A005,https://ciruelacertificada.cl/recurso/tdr-para-la-contratacion-de-empresa-que-realice-plan-de-gestion-del-recurso-hidrico/,,https://ciruelacertificada.cl/wp-content/uploads/2024/12/P7-A5-TDR-Plan-gestion-recurso-hidrico.pdf,https://ciruelacertificada.cl/wp-content/uploads/2024/12/P7-A5-TDR-Plan-gestion-recurso-hidrico.docx,
Ambiente,Agua,Registro,"Registro de mantenciones, fugas o reparaciones","A008, A009, A040, A059, A082",https://ciruelacertificada.cl/recurso/registro-de-mantenciones-fugas-o-reparaciones/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.xlsx
Ambiente,Biodiversidad,Señalética,No realizar labores de limpieza de zanjas o poda de corta vientos en época de anidación de aves,A026,https://ciruelacertificada.cl/recurso/senaletica-no-realizar-labores-de-limpieza-de-zanjas-o-poda-de-corta-vientos-en-epoca-de-anidacion-de-aves/,,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P45-A26-labores.pdf,,
Ambiente,Biodiversidad,Señalética,"No cazar, pescar o recolectar animales",A026,https://ciruelacertificada.cl/recurso/senaletica-no-cazar-pescar-o-recolectar-animales/,,,,
Ambiente,Biodiversidad,Señalética,Prohibido el ingreso de mascotas,A026,https://ciruelacertificada.cl/recurso/senaletica-prohibido-el-ingreso-de-mascotas/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P45-A26-PROHIBIDO-1.pdf,,
Ambiente,Biodiversidad,Señalética,No retener la vida silvestre en cautiverio,A026,https://ciruelacertificada.cl/recurso/senaletica-no-retener-la-vida-silvestre-en-cautiverio/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P45-A26-No-retener-vida-silvestre.pdf,,
Ambiente,Biodiversidad,TDR,TDR Diagnóstico de la biodiversidad,A018,https://ciruelacertificada.cl/recurso/tdr-diagnostico-de-la-biodiversidad/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P36-A18-Diagnostico-biodiversidad.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P36-A18-Diagnostico-biodiversidad.docx,
Ambiente,Biodiversidad,TDR,TDR Plan de gestión de la biodiversidad,A019,https://ciruelacertificada.cl/recurso/tdr-plan-de-gestion-de-la-biodiversidad/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P37-A19-Plan-gestion-biodiversidad.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P37-A19-Plan-gestion-biodiversidad.docx,
Ambiente,Biodiversidad,Registro,Registro de especies exóticas invasoras,A024,https://ciruelacertificada.cl/recurso/registro-de-especies-exoticas-invasoras/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P43-A24-Registro-de-especies-exoticas.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P43-A24-Registro-de-especies-exoticas.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P43-A24-Registro-de-especies-exoticas.xlsx
Ambiente,Residuos,Señalética,Contactos,A041,https://ciruelacertificada.cl/recurso/senaletica-contactos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P62-A41-.pdf,,
Ambiente,Residuos,Señalética,Residuos no reciclables,A049,https://ciruelacertificada.cl/recurso/senaletica-residuos-no-reciclables/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P67-A49-No-reciclables.pdf,,
Ambiente,Residuos,Señalética,Residuos peligrosos,A049,https://ciruelacertificada.cl/recurso/senaletica-residuos-peligrosos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P67-A49-Peligrosos.pdf,,
Ambiente,Residuos,Señalética,Zona de reciclaje,A049,https://ciruelacertificada.cl/recurso/senaletica-zona-de-reciclaje/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/Accion-67-PP-49-AA-Zona-de-reciclaje-50x50cm.pdf,,
Ambiente,Residuos,Registro,Registro de identificación de residuos,A037,https://ciruelacertificada.cl/recurso/registro-de-identificacion-de-residuos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P58-A37-Registrp-de-identificacion-de-residuos.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P58-A37-Registrp-de-identificacion-de-residuos.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P58-A37-Registrp-de-identificacion-de-residuos.xlsx
Ambiente,Energía,Señalética,Uso eficiente de la energía,A058,https://ciruelacertificada.cl/recurso/senaletica-uso-eficiente-de-la-energia/,,http://ciruelacertificada.cl/wp-content/uploads/2025/02/A58-P75-Uso-Energia-1.pdf,,
Ambiente,Energía,Señalética,Ahorro de energía,A056,https://ciruelacertificada.cl/recurso/senaletica-ahorro-de-energia/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P74-A56-Ahorro-energia.pdf,,
Ambiente,Energía,Señalética,Realizar mantenciones preventivas,A056,https://ciruelacertificada.cl/recurso/senaletica-realizar-mantenciones-preventivas/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P74-A56-Mantenciones.pdf,,
Ambiente,Energía,Señalética,Regular el consumo de agua caliente,A056,https://ciruelacertificada.cl/recurso/senaletica-regular-el-consumo-de-agua-caliente/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P74-A56-Agua-caliente.pdf,,
Ambiente,Energía,TDR,TDR: Diagnóstico Energético,A054,https://ciruelacertificada.cl/recurso/tdr-diagnostico-energetico/,,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P71-A54-TDR-Diagnostico-Energetico.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P71-A54-TDR-Diagnostico-Energetico.docx,
Ambiente,Energía,TDR,TDR: Plan de eficiencia enerética,A055,https://ciruelacertificada.cl/recurso/tdr-plan-de-eficiencia-eneretica/,,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P73-A55-TDR-Plan-de-eficiencia-Energetica.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P73-A55-TDR-Plan-de-eficiencia-Energetica.docx,
Ambiente,Energía,Registro,Registro de consumo energético,A052,https://ciruelacertificada.cl/recurso/registro-de-consumo-energetico/,,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P70-A52-Registro-consmo-energia.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P70-A52-Registro-consmo-energia.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P70-A52-Registro-consmo-energia-1.xlsx
Ambiente,GEI,TDR,TDR Cuantificación de emisiones GEI,"A063, A064, A066 ",https://ciruelacertificada.cl/recurso/tdr-cuantificacion-de-emisiones-gei/,,http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/02/A63-A64-A66-P79-P80-P82-TDR-Cuantificacion-de-emisiones-GEI.docx,
Ambiente,GEI,Registro,Registro emisiones GEI,A063 A064,https://ciruelacertificada.cl/recurso/registro-emisiones-gei/,,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/02/P79-P80-A63-A64-Registro-emisiones-GEI.xlsx
Calidad,Calidad,Registro,Registro de labores productivas en planta,A076,https://ciruelacertificada.cl/recurso/registro-de-labores-productivas-en-planta/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/A76-Registro-de-labores-productivas.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/A76-Registro-de-labores-productivas.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/A76-Registro-de-labores-productivas.xlsx
Calidad,Inocuidad,Señalética,Mantenga la higiene al manipular la fruta,A084,https://ciruelacertificada.cl/recurso/senaletica-mantenga-la-higiene-al-manipular-la-fruta/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/A84-Higiene-al-manipular-la-fruta.pdf,,
Social,Condiciones de trabajo,TDR,TDR Programa de prevención de riesgos,A121,https://ciruelacertificada.cl/recurso/tdr-programa-de-prevencion-de-riesgos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P131-A-121.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P131-A-121.docx,
Social,Condiciones de trabajo,Registro,Registro de la gestión de seguridad de los trabajadores,A118,https://ciruelacertificada.cl/recurso/registro-de-la-gestion-de-seguridad-de-los-trabajadores/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P126-A128-Restion-de-seguridad-de-los-trabajadores.xlsx
Social,Comunidades locales,Registro,Mapeo de actores con identificación de impactos ,A107,https://ciruelacertificada.cl/recurso/mapeo-de-actores-con-identificacion-de-impactos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P114-A107-Mapeo-de-actores.xlsx
Social,Comunidades locales,Registro,Matriz con medidas de mitigación,A108,https://ciruelacertificada.cl/recurso/matriz-con-medidas-de-mitigacion/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108-Matriz-con-medidas-de-mitigacion.xlsx
Social,Comunidades locales,Registro,Libro de reclamos y sugerencias,A114,https://ciruelacertificada.cl/recurso/libro-de-reclamos-y-sugerencias/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.xlsx
Social,Comunidades locales,Registro,Registro de portafolio de evidencia,"A109, A111, A113",https://ciruelacertificada.cl/recurso/registro-de-portafolio-de-evidencia/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.xlsx
