dimensión,tema,tipo,detalle,código_recurso,url_web,url_curso,url_pdf,url_word,url_excel
Ambiente,Agua,Señalética,Evite el desperdicio de agua,P009,https://ciruelacertificada.cl/recurso/senaletica-evite-el-desperdicio-de-agua/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P9-A7-.pdf,,
Ambiente,Agua,TDR,TDR para la contratación de empresa que realice plan de gestión del recurso hídrico,P007,https://ciruelacertificada.cl/recurso/tdr-para-la-contratacion-de-empresa-que-realice-plan-de-gestion-del-recurso-hidrico/,,https://ciruelacertificada.cl/wp-content/uploads/2024/12/P7-A5-TDR-Plan-gestion-recurso-hidrico.pdf,https://ciruelacertificada.cl/wp-content/uploads/2024/12/P7-A5-TDR-Plan-gestion-recurso-hidrico.docx,
Ambiente,Agua,Registro,Registro de consumo de agua en planta,A001,https://ciruelacertificada.cl/recurso/registro-de-consumo-de-agua-en-planta/,,https://ciruelacertificada.cl/wp-content/uploads/2024/12/A1-Registro-de-consumo-de-agua-en-planta-.pdf,https://ciruelacertificada.cl/wp-content/uploads/2024/12/A1-Registro-de-consumo-de-agua-en-planta-.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/03/A1-Registro-de-consumo-de-agua-en-planta.xlsx
Ambiente,Agua,Registro,Registro de consumo de agua en predio,P001,https://ciruelacertificada.cl/recurso/registro-de-consumo-de-agua-en-predio/,,https://ciruelacertificada.cl/wp-content/uploads/2024/12/P1-Consumo-agua.pdf,https://ciruelacertificada.cl/wp-content/uploads/2024/12/P1-Consumo-agua.docx,https://ciruelacertificada.cl/wp-content/uploads/2024/12/P1-Consumo-agua.xlsx
Ambiente,Agua,Registro,Registro de balance hídrico,P016,https://ciruelacertificada.cl/recurso/registro-de-balance-hidrico/,,,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P16-Balance-Hidrico.xlsx
Ambiente,Agua,Registro,Registro de coeficiente de uniformidad de rigo,P017,https://ciruelacertificada.cl/recurso/registro-de-coeficiente-de-uniformidad-de-riego/,,,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P17-Uniformidad-de-Riego.xlsx
Ambiente,Agua,Registro,Registro de humedad de suelo,P019,https://ciruelacertificada.cl/recurso/registro-de-la-humedad-del-suelo/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P19-Humedad-del-suelo.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P19-Humedad-del-suelo.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P19-Humedad-del-suelo.xlsx
Ambiente,Agua,Registro,"Registro de mantenciones, fugas o reparaciones","P008, P105, P022, P055, P061, P076",https://ciruelacertificada.cl/recurso/registro-de-mantenciones-fugas-o-reparaciones/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.pdf,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.docx,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P815-22-55-61-76-A8-9-40-59-82-Mantenciones.xlsx
Ambiente,Suelo,Señalética,Protocolo con acciones de mínima labranza,P030,https://ciruelacertificada.cl/recurso/protocolo-de-minima-labranza/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P30-MINIMA-LABRANZA.pdf,,
Ambiente,Suelo,Señalética,Prohibido hacer fuego,P024,https://ciruelacertificada.cl/recurso/senaletica-prohibido-hacer-fuego/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P24-Prohibido-fuego.pdf,,
